Crop	N	P	K	Temperature	humidity	pH	Rainfall	State	Season	Price
rice	90	42	43	21	82.00274423	6.502985292	203	Uttar Pradesh	Zaid	19.11
rice	85	58	41	22	80.31964408	7.038096361	227	West Bengal	Rabi	65.92
rice	91	53	40	27	81.41753846	5.386167788	265	Tamil Nadu	Rabi	307.33
rice	91	53	40	27	81.41753846	5.386167788	265	Karnataka	Post-Monsoon	64.61
rice	85	38	41	22	82.7883708	6.249050656	277	Karnataka	Rabi	162.86
rice	91	35	39	24	80.41817957	6.970859754	206	Punjab	Rabi	223.17
rice	99	57	35	27	81.17734011	5.960370061	272	Maharashtra	Zaid	92.7
rice	62	42	36	23	82.06719137	6.430010215	249	Maharashtra	Post-Monsoon	99.11
rice	79	43	39	22	80.70960551	7.062779015	211	Maharashtra	Rabi	167.64
rice	76	60	39	20	80.3477562	6.766240045	209	Karnataka	Kharif	148.06
rice	65	60	43	22	81.89918197	5.658169482	227	West Bengal	Rabi	65.92
rice	95	52	36	26	83.83625819	5.543360238	287	Uttar Pradesh	Rabi	78.63
rice	71	46	40	20	82.1235421	7.236705436	192	Karnataka	Rabi	72.5
rice	83	58	45	26	83.51827127	5.875345751	246	Karnataka	Kharif	40.61
rice	70	36	42	22	80.72886384	6.946209881	202	Punjab	Zaid	33.45
rice	67	45	38	23	82.1706881	7.300410836	261	Karnataka	Post-Monsoon	3.02
rice	77	36	37	27	81.46033732	6.136131869	195	Punjab	Rabi	276.9
rice	77	36	37	27	81.46033732	6.136131869	195	Uttar Pradesh	Zaid	102.99
rice	67	43	39	26	84.96907151	5.999969026	187	Karnataka	Kharif	304.15
rice	82	43	38	23	81.43321641	5.105588355	242	Maharashtra	Post-Monsoon	174.83
rice	90	44	38	24	83.88387074	7.473134377	241	West Bengal	Kharif	60.64
rice	78	40	38	26	83.85642678	7.549873681	248	Karnataka	Kharif	81.91
rice	78	40	38	26	83.85642678	7.549873681	248	Karnataka	Zaid	56.81
rice	60	51	36	23	82.81088865	6.028321558	257	Punjab	Rabi	13.62
rice	78	35	44	27	84.67353597	7.072655622	184	Karnataka	Kharif	288.07
maize	71	54	16	23	63.69070564	5.749914421	88	Punjab	Rabi	128.52
maize	89	60	19	25	66.6902901	5.913664501	78	Punjab	Rabi	220.86
maize	90	49	21	25	68.3584573	6.472523287	74	Karnataka	Post-Monsoon	63.56
maize	62	52	16	22	58.84015925	6.967057762	64	Punjab	Kharif	128.8
maize	66	53	19	23	60.1159381	6.033550195	65	Tamil Nadu	Post-Monsoon	15.82
maize	74	56	22	18	66.65952796	6.829199275	81	Karnataka	Zaid	5.67
maize	64	35	23	23	61.89472002	5.680361038	63	Punjab	Zaid	114.54
maize	86	55	21	22	59.64024162	6.803931519	110	Karnataka	Post-Monsoon	119.6
maize	74	43	23	26	61.89082199	6.325235159	100	Maharashtra	Kharif	133.04
maize	63	43	17	19	65.47050802	6.807487794	71	Uttar Pradesh	Post-Monsoon	88.51
maize	99	36	20	21	65.34583901	6.671085817	78	Maharashtra	Post-Monsoon	133.66
maize	99	36	20	21	65.34583901	6.671085817	78	Tamil Nadu	Zaid	7.32
maize	66	44	20	19	69.02298571	6.740000688	81	Karnataka	Kharif	202.63
maize	63	35	16	22	65.35549924	6.272417541	84	Karnataka	Zaid	16.57
maize	79	45	20	24	59.24537979	5.715208817	90	Karnataka	Rabi	27.26
maize	75	53	18	21	59.4375337	6.864793607	104	Uttar Pradesh	Post-Monsoon	257.67
maize	74	39	23	23	65.77472881	6.78073637	88	Punjab	Rabi	128.52
maize	63	42	21	23	72.33125523	5.798423908	67	Uttar Pradesh	Post-Monsoon	43.04
maize	90	52	25	26	69.36385721	6.822586546	103	Maharashtra	Post-Monsoon	167.05
maize	90	52	25	26	69.36385721	6.822586546	103	Karnataka	Rabi	2.58
maize	71	52	18	25	55.97732754	5.790770203	78	Punjab	Rabi	220.86
maize	65	60	22	25	72.52054555	6.606984086	108	Tamil Nadu	Post-Monsoon	115.33
maize	90	57	24	19	72.80086137	6.158860284	82	Punjab	Rabi	123.23
maize	67	35	22	23	63.24648023	6.385684214	109	West Bengal	Rabi	292.29
cotton	133	47	23	25	75.62137159	6.827354668	90	Karnataka	Rabi	127.49
cotton	113	41	20	25	80.53965818	7.256877571	96	Karnataka	Zaid	113.52
cotton	121	45	22	22	81.30681027	6.443785385	64	Karnataka	Post-Monsoon	307.49
cotton	121	47	16	24	79.29573149	7.723240151	72	Maharashtra	Post-Monsoon	0.9
cotton	140	38	15	24	75.88298598	6.021439523	70	Karnataka	Post-Monsoon	174.73
cotton	102	49	21	25	84.84422454	6.253343655	90	Karnataka	Rabi	127.49
cotton	135	43	16	23	81.73049149	6.720449769	87	West Bengal	Zaid	89.98
cotton	101	58	18	26	81.38103349	6.652143699	79	Karnataka	Post-Monsoon	25.34
cotton	101	58	18	26	81.38103349	6.652143699	79	Karnataka	Zaid	11.63
cotton	102	46	19	23	82.5993307	6.631005298	81	Karnataka	Rabi	141.17
cotton	108	46	17	24	84.87668973	6.93221485	65	Maharashtra	Kharif	223.89
cotton	133	50	25	26	81.19666206	7.569454601	100	Karnataka	Post-Monsoon	84.12
cotton	127	37	18	25	76.30050373	7.041065585	92	Punjab	Kharif	131.72
cotton	127	37	18	25	76.30050373	7.041065585	92	Karnataka	Rabi	28.46
cotton	110	39	25	23	77.34264002	7.208795456	75	Karnataka	Rabi	50.17
cotton	100	40	20	22	76.25674874	7.432043735	87	Uttar Pradesh	Zaid	124.73
cotton	100	40	20	22	76.25674874	7.432043735	87	Tamil Nadu	Post-Monsoon	119.19
cotton	118	50	19	23	82.33733678	6.360812227	66	Tamil Nadu	Kharif	57.79
cotton	133	57	19	24	75.98203329	7.947011366	84	Tamil Nadu	Zaid	36.17
cotton	114	40	23	26	81.13668716	6.753978061	95	Karnataka	Kharif	190
cotton	131	60	17	25	81.79475917	7.425041316	83	Tamil Nadu	Rabi	97.49
cotton	123	44	21	26	75.00539324	7.641116569	91	Maharashtra	Rabi	78.31
cotton	112	54	15	25	81.56641891	6.175492306	77	Tamil Nadu	Rabi	33.73
cotton	100	52	19	23	82.44777468	7.903528673	94	Maharashtra	Post-Monsoon	67.72
